,date,full_moon_eclipse
0,1916-01,1
1,1916-07,1
2,1917-01,1
3,1917-07,1
4,1917-12,1
5,1920-05,1
6,1920-10,1
7,1921-04,1
8,1921-10,1
9,1923-03,1
10,1923-08,1
11,1924-02,1
12,1924-08,1
13,1925-02,1
14,1925-08,1
15,1927-06,1
16,1927-12,1
17,1928-06,1
18,1928-11,1
19,1931-04,1
20,1931-09,1
21,1932-03,1
22,1932-09,1
23,1934-01,1
24,1934-07,1
25,1935-01,1
26,1935-07,1
27,1936-01,1
28,1936-07,1
29,1938-05,1
30,1938-11,1
31,1939-05,1
32,1939-10,1
33,1941-03,1
34,1942-03,1
35,1942-08,1
36,1943-02,1
37,1943-08,1
38,1945-06,1
39,1945-12,1
40,1946-06,1
41,1946-12,1
42,1949-04,1
43,1949-10,1
44,1950-04,1
45,1950-09,1
46,1952-02,1
47,1952-08,1
48,1953-01,1
49,1953-07,1
50,1954-01,1
51,1954-07,1
52,1956-05,1
53,1956-11,1
54,1957-05,1
55,1957-11,1
56,1959-03,1
57,1960-03,1
58,1960-09,1
59,1961-03,1
60,1961-08,1
61,1963-07,1
62,1963-12,1
63,1964-06,1
64,1964-12,1
65,1965-06,1
66,1967-04,1
67,1967-10,1
68,1968-04,1
69,1968-10,1
70,1970-02,1
71,1970-08,1
72,1971-02,1
73,1971-08,1
74,1972-01,1
75,1972-07,1
76,1974-06,1
77,1974-11,1
78,1975-05,1
79,1975-11,1
80,1978-03,1
81,1978-09,1
82,1979-03,1
83,1979-09,1
84,1981-07,1
85,1982-01,1
86,1982-07,1
87,1982-12,1
88,1983-06,1
89,1985-05,1
90,1985-10,1
91,1986-04,1
92,1986-10,1
93,1988-03,1
94,1988-08,1
95,1989-02,1
96,1989-08,1
97,1990-02,1
98,1990-08,1
99,1992-06,1
100,1992-12,1
101,1993-06,1
102,1993-11,1
103,1996-04,1
104,1996-09,1
105,1997-03,1
106,1997-09,1
107,1999-07,1
108,2000-01,1
109,2000-07,1
110,2001-01,1
111,2001-07,1
112,2003-05,1
113,2003-11,1
114,2004-05,1
115,2004-10,1
116,2007-03,1
117,2007-08,1
118,2008-02,1
119,2008-08,1
120,2010-06,1
121,2010-12,1
122,2011-06,1
123,2011-12,1
124,2012-06,1
125,2014-04,1
126,2014-10,1
127,2015-04,1
128,2015-09,1
129,2017-08,1
130,2018-01,1
131,2018-07,1
132,2019-01,1
133,2019-07,1
