,second_coming_of_christ,date
0,1,1915-01-01
1,1,1915-02-01
2,1,1915-03-01
3,1,1915-04-01
4,1,1915-05-01
5,1,1915-06-01
6,1,1915-07-01
7,1,1915-08-01
8,1,1915-09-01
9,1,1915-10-01
10,1,1915-11-01
11,1,1915-12-01
0,1,1917-01-01
1,1,1917-02-01
2,1,1917-03-01
3,1,1917-04-01
4,1,1917-05-01
5,1,1917-06-01
6,1,1917-07-01
7,1,1917-08-01
8,1,1917-09-01
9,1,1917-10-01
10,1,1917-11-01
11,1,1917-12-01
12,1,1918-01-01
13,1,1918-02-01
14,1,1918-03-01
15,1,1918-04-01
16,1,1918-05-01
17,1,1918-06-01
18,1,1918-07-01
19,1,1918-08-01
20,1,1918-09-01
21,1,1918-10-01
22,1,1918-11-01
23,1,1918-12-01
24,1,1919-01-01
25,1,1919-02-01
26,1,1919-03-01
27,1,1919-04-01
28,1,1919-05-01
29,1,1919-06-01
30,1,1919-07-01
31,1,1919-08-01
32,1,1919-09-01
33,1,1919-10-01
34,1,1919-11-01
35,1,1919-12-01
36,1,1920-01-01
37,1,1920-02-01
38,1,1920-03-01
39,1,1920-04-01
40,1,1920-05-01
41,1,1920-06-01
42,1,1920-07-01
43,1,1920-08-01
44,1,1920-09-01
45,1,1920-10-01
46,1,1920-11-01
47,1,1920-12-01
48,1,1921-01-01
49,1,1921-02-01
50,1,1921-03-01
51,1,1921-04-01
52,1,1921-05-01
53,1,1921-06-01
54,1,1921-07-01
55,1,1921-08-01
56,1,1921-09-01
57,1,1921-10-01
58,1,1921-11-01
59,1,1921-12-01
60,1,1922-01-01
61,1,1922-02-01
62,1,1922-03-01
63,1,1922-04-01
64,1,1922-05-01
65,1,1922-06-01
66,1,1922-07-01
67,1,1922-08-01
68,1,1922-09-01
69,1,1922-10-01
70,1,1922-11-01
71,1,1922-12-01
72,1,1923-01-01
73,1,1923-02-01
74,1,1923-03-01
75,1,1923-04-01
76,1,1923-05-01
77,1,1923-06-01
78,1,1923-07-01
79,1,1923-08-01
80,1,1923-09-01
81,1,1923-10-01
82,1,1923-11-01
83,1,1923-12-01
84,1,1924-01-01
85,1,1924-02-01
86,1,1924-03-01
87,1,1924-04-01
88,1,1924-05-01
89,1,1924-06-01
90,1,1924-07-01
91,1,1924-08-01
92,1,1924-09-01
93,1,1924-10-01
94,1,1924-11-01
95,1,1924-12-01
96,1,1925-01-01
97,1,1925-02-01
98,1,1925-03-01
99,1,1925-04-01
100,1,1925-05-01
101,1,1925-06-01
102,1,1925-07-01
103,1,1925-08-01
104,1,1925-09-01
105,1,1925-10-01
106,1,1925-11-01
107,1,1925-12-01
108,1,1926-01-01
109,1,1926-02-01
110,1,1926-03-01
111,1,1926-04-01
112,1,1926-05-01
113,1,1926-06-01
114,1,1926-07-01
115,1,1926-08-01
116,1,1926-09-01
117,1,1926-10-01
118,1,1926-11-01
119,1,1926-12-01
120,1,1927-01-01
121,1,1927-02-01
122,1,1927-03-01
123,1,1927-04-01
124,1,1927-05-01
125,1,1927-06-01
126,1,1927-07-01
127,1,1927-08-01
128,1,1927-09-01
129,1,1927-10-01
130,1,1927-11-01
131,1,1927-12-01
132,1,1928-01-01
133,1,1928-02-01
134,1,1928-03-01
135,1,1928-04-01
136,1,1928-05-01
137,1,1928-06-01
138,1,1928-07-01
139,1,1928-08-01
140,1,1928-09-01
141,1,1928-10-01
142,1,1928-11-01
143,1,1928-12-01
144,1,1929-01-01
145,1,1929-02-01
146,1,1929-03-01
147,1,1929-04-01
148,1,1929-05-01
149,1,1929-06-01
150,1,1929-07-01
151,1,1929-08-01
152,1,1929-09-01
153,1,1929-10-01
154,1,1929-11-01
155,1,1929-12-01
156,1,1930-01-01
157,1,1930-02-01
158,1,1930-03-01
159,1,1930-04-01
160,1,1930-05-01
161,1,1930-06-01
162,1,1930-07-01
163,1,1930-08-01
164,1,1930-09-01
165,1,1930-10-01
166,1,1930-11-01
167,1,1930-12-01
0,1,1930-01-01
1,1,1930-02-01
2,1,1930-03-01
3,1,1930-04-01
4,1,1930-05-01
5,1,1930-06-01
6,1,1930-07-01
7,1,1930-08-01
8,1,1930-09-01
9,1,1930-10-01
10,1,1930-11-01
11,1,1930-12-01
12,1,1931-01-01
13,1,1931-02-01
14,1,1931-03-01
15,1,1931-04-01
16,1,1931-05-01
17,1,1931-06-01
18,1,1931-07-01
19,1,1931-08-01
20,1,1931-09-01
21,1,1931-10-01
22,1,1931-11-01
23,1,1931-12-01
24,1,1932-01-01
25,1,1932-02-01
26,1,1932-03-01
27,1,1932-04-01
28,1,1932-05-01
29,1,1932-06-01
30,1,1932-07-01
31,1,1932-08-01
32,1,1932-09-01
33,1,1932-10-01
34,1,1932-11-01
35,1,1932-12-01
36,1,1933-01-01
37,1,1933-02-01
38,1,1933-03-01
39,1,1933-04-01
40,1,1933-05-01
41,1,1933-06-01
42,1,1933-07-01
43,1,1933-08-01
44,1,1933-09-01
45,1,1933-10-01
46,1,1933-11-01
47,1,1933-12-01
48,1,1934-01-01
49,1,1934-02-01
50,1,1934-03-01
51,1,1934-04-01
52,1,1934-05-01
53,1,1934-06-01
54,1,1934-07-01
55,1,1934-08-01
56,1,1934-09-01
57,1,1934-10-01
58,1,1934-11-01
59,1,1934-12-01
60,1,1935-01-01
61,1,1935-02-01
62,1,1935-03-01
63,1,1935-04-01
64,1,1935-05-01
65,1,1935-06-01
66,1,1935-07-01
67,1,1935-08-01
68,1,1935-09-01
69,1,1935-10-01
70,1,1935-11-01
71,1,1935-12-01
72,1,1936-01-01
73,1,1936-02-01
74,1,1936-03-01
75,1,1936-04-01
76,1,1936-05-01
77,1,1936-06-01
78,1,1936-07-01
79,1,1936-08-01
80,1,1936-09-01
81,1,1936-10-01
82,1,1936-11-01
83,1,1936-12-01
84,1,1937-01-01
85,1,1937-02-01
86,1,1937-03-01
87,1,1937-04-01
88,1,1937-05-01
89,1,1937-06-01
90,1,1937-07-01
91,1,1937-08-01
92,1,1937-09-01
93,1,1937-10-01
94,1,1937-11-01
95,1,1937-12-01
96,1,1938-01-01
97,1,1938-02-01
98,1,1938-03-01
99,1,1938-04-01
100,1,1938-05-01
101,1,1938-06-01
102,1,1938-07-01
103,1,1938-08-01
104,1,1938-09-01
105,1,1938-10-01
106,1,1938-11-01
107,1,1938-12-01
108,1,1939-01-01
109,1,1939-02-01
110,1,1939-03-01
111,1,1939-04-01
112,1,1939-05-01
113,1,1939-06-01
114,1,1939-07-01
115,1,1939-08-01
116,1,1939-09-01
117,1,1939-10-01
118,1,1939-11-01
119,1,1939-12-01
0,1,1964-10-01
1,1,1964-11-01
2,1,1964-12-01
0,1,1982-06-21
1,1,1982-07-21
2,1,1982-08-21
3,1,1982-09-21
4,1,1982-10-21
5,1,1982-11-21
6,1,1982-12-21
0,1,1988-01-01
1,1,1988-02-01
2,1,1988-03-01
3,1,1988-04-01
4,1,1988-05-01
5,1,1988-06-01
6,1,1988-07-01
7,1,1988-08-01
8,1,1988-09-01
9,1,1988-10-01
10,1,1988-11-01
11,1,1988-12-01
0,1,1994-09-06
1,1,1994-10-06
2,1,1994-11-06
3,1,1994-12-06
0,1,1999-01-01
1,1,1999-02-01
2,1,1999-03-01
3,1,1999-04-01
4,1,1999-05-01
5,1,1999-06-01
6,1,1999-07-01
7,1,1999-08-01
8,1,1999-09-01
9,1,1999-10-01
10,1,1999-11-01
11,1,1999-12-01
12,1,2000-01-01
13,1,2000-02-01
14,1,2000-03-01
15,1,2000-04-01
16,1,2000-05-01
17,1,2000-06-01
18,1,2000-07-01
19,1,2000-08-01
20,1,2000-09-01
21,1,2000-10-01
22,1,2000-11-01
23,1,2000-12-01
24,1,2001-01-01
25,1,2001-02-01
26,1,2001-03-01
27,1,2001-04-01
28,1,2001-05-01
29,1,2001-06-01
30,1,2001-07-01
31,1,2001-08-01
32,1,2001-09-01
33,1,2001-10-01
34,1,2001-11-01
35,1,2001-12-01
36,1,2002-01-01
37,1,2002-02-01
38,1,2002-03-01
39,1,2002-04-01
40,1,2002-05-01
41,1,2002-06-01
42,1,2002-07-01
43,1,2002-08-01
44,1,2002-09-01
45,1,2002-10-01
46,1,2002-11-01
47,1,2002-12-01
48,1,2003-01-01
49,1,2003-02-01
50,1,2003-03-01
51,1,2003-04-01
52,1,2003-05-01
53,1,2003-06-01
54,1,2003-07-01
55,1,2003-08-01
56,1,2003-09-01
57,1,2003-10-01
58,1,2003-11-01
59,1,2003-12-01
60,1,2004-01-01
61,1,2004-02-01
62,1,2004-03-01
63,1,2004-04-01
64,1,2004-05-01
65,1,2004-06-01
66,1,2004-07-01
67,1,2004-08-01
68,1,2004-09-01
69,1,2004-10-01
70,1,2004-11-01
71,1,2004-12-01
72,1,2005-01-01
73,1,2005-02-01
74,1,2005-03-01
75,1,2005-04-01
76,1,2005-05-01
77,1,2005-06-01
78,1,2005-07-01
79,1,2005-08-01
80,1,2005-09-01
81,1,2005-10-01
82,1,2005-11-01
83,1,2005-12-01
84,1,2006-01-01
85,1,2006-02-01
86,1,2006-03-01
87,1,2006-04-01
88,1,2006-05-01
89,1,2006-06-01
90,1,2006-07-01
91,1,2006-08-01
92,1,2006-09-01
93,1,2006-10-01
94,1,2006-11-01
95,1,2006-12-01
96,1,2007-01-01
97,1,2007-02-01
98,1,2007-03-01
99,1,2007-04-01
100,1,2007-05-01
101,1,2007-06-01
102,1,2007-07-01
103,1,2007-08-01
104,1,2007-09-01
105,1,2007-10-01
106,1,2007-11-01
107,1,2007-12-01
108,1,2008-01-01
109,1,2008-02-01
110,1,2008-03-01
111,1,2008-04-01
112,1,2008-05-01
113,1,2008-06-01
114,1,2008-07-01
115,1,2008-08-01
116,1,2008-09-01
117,1,2008-10-01
118,1,2008-11-01
119,1,2008-12-01
120,1,2009-01-01
121,1,2009-02-01
122,1,2009-03-01
123,1,2009-04-01
124,1,2009-05-01
125,1,2009-06-01
126,1,2009-07-01
127,1,2009-08-01
128,1,2009-09-01
129,1,2009-10-01
130,1,2009-11-01
131,1,2009-12-01
0,1,2000-01-01
1,1,2000-02-01
2,1,2000-03-01
3,1,2000-04-01
4,1,2000-05-01
5,1,2000-06-01
6,1,2000-07-01
7,1,2000-08-01
8,1,2000-09-01
9,1,2000-10-01
10,1,2000-11-01
11,1,2000-12-01
0,1,2000-01-01
1,1,2000-02-01
2,1,2000-03-01
3,1,2000-04-01
4,1,2000-05-01
5,1,2000-06-01
6,1,2000-07-01
7,1,2000-08-01
8,1,2000-09-01
9,1,2000-10-01
10,1,2000-11-01
11,1,2000-12-01
0,1,2000-01-01
1,1,2000-02-01
2,1,2000-03-01
3,1,2000-04-01
4,1,2000-05-01
5,1,2000-06-01
6,1,2000-07-01
7,1,2000-08-01
8,1,2000-09-01
9,1,2000-10-01
10,1,2000-11-01
11,1,2000-12-01
0,1,2000-01-01
1,1,2000-02-01
2,1,2000-03-01
3,1,2000-04-01
4,1,2000-05-01
5,1,2000-06-01
6,1,2000-07-01
7,1,2000-08-01
8,1,2000-09-01
9,1,2000-10-01
10,1,2000-11-01
11,1,2000-12-01
0,1,2000-04-06
1,1,2000-05-06
2,1,2000-06-06
3,1,2000-07-06
4,1,2000-08-06
5,1,2000-09-06
6,1,2000-10-06
7,1,2000-11-06
8,1,2000-12-06
0,1,2012-01-01
1,1,2012-02-01
2,1,2012-03-01
3,1,2012-04-01
4,1,2012-05-01
5,1,2012-06-01
6,1,2012-07-01
7,1,2012-08-01
8,1,2012-09-01
9,1,2012-10-01
10,1,2012-11-01
11,1,2012-12-01
0,1,2015-09-28
1,1,2015-10-28
2,1,2015-11-28
3,1,2015-12-28
0,1,2019-06-09
1,1,2019-07-09
2,1,2019-08-09
3,1,2019-09-09
4,1,2019-10-09
5,1,2019-11-09
6,1,2019-12-09
0,1,2020-07-22
1,1,2020-08-22
2,1,2020-09-22
3,1,2020-10-22
4,1,2020-11-22
5,1,2020-12-22
0,1,1935-01-01
1,1,1935-02-01
2,1,1935-03-01
3,1,1935-04-01
4,1,1935-05-01
5,1,1935-06-01
6,1,1935-07-01
7,1,1935-08-01
8,1,1935-09-01
9,1,1935-10-01
10,1,1935-11-01
11,1,1935-12-01
0,1,1943-01-01
1,1,1943-02-01
2,1,1943-03-01
3,1,1943-04-01
4,1,1943-05-01
5,1,1943-06-01
6,1,1943-07-01
7,1,1943-08-01
8,1,1943-09-01
9,1,1943-10-01
10,1,1943-11-01
11,1,1943-12-01
0,1,2012-05-27
1,1,2012-06-27
2,1,2012-07-27
3,1,2012-08-27
4,1,2012-09-27
5,1,2012-10-27
6,1,2012-11-27
7,1,2012-12-27
0,1,2011-10-21
1,1,2011-11-21
2,1,2011-12-21
